run_name,run_dir,config_path,method_name,core_method,noise_name,loc_err,xyz_std,ryp_std,seed,cov_log_filename,enable_status_based_skip,enable_ok_tail_vertical_blur,vertical_blur_use_ty_only,blur_sigma_scale
level2_status_skip_vertical_blur_bss0p05__low_combined__xyz0p2__ryp1__seed42,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__low_combined__xyz0p2__ryp1__seed42,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__low_combined__xyz0p2__ryp1__seed42/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,low_combined,True,0.2,1.0,42,level2_status_skip_vertical_blur_bss0p05__low_combined__xyz0p2__ryp1__seed42.csv,True,True,True,0.05
feaco_baseline__medium_combined__xyz0p5__ryp2__seed42,opencood/pretrained/feaco/generated_feaco_baseline__medium_combined__xyz0p5__ryp2__seed42,opencood/pretrained/feaco/generated_feaco_baseline__medium_combined__xyz0p5__ryp2__seed42/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,medium_combined,True,0.5,2.0,42,feaco_baseline__medium_combined__xyz0p5__ryp2__seed42.csv,False,False,True,0.05
level2_status_skip_vertical_blur_bss0p05__medium_combined__xyz0p5__ryp2__seed42,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__medium_combined__xyz0p5__ryp2__seed42,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__medium_combined__xyz0p5__ryp2__seed42/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,medium_combined,True,0.5,2.0,42,level2_status_skip_vertical_blur_bss0p05__medium_combined__xyz0p5__ryp2__seed42.csv,True,True,True,0.05
feaco_baseline__high_combined__xyz1__ryp4__seed42,opencood/pretrained/feaco/generated_feaco_baseline__high_combined__xyz1__ryp4__seed42,opencood/pretrained/feaco/generated_feaco_baseline__high_combined__xyz1__ryp4__seed42/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,high_combined,True,1.0,4.0,42,feaco_baseline__high_combined__xyz1__ryp4__seed42.csv,False,False,True,0.05
level2_status_skip_vertical_blur_bss0p05__high_combined__xyz1__ryp4__seed42,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__high_combined__xyz1__ryp4__seed42,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__high_combined__xyz1__ryp4__seed42/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,high_combined,True,1.0,4.0,42,level2_status_skip_vertical_blur_bss0p05__high_combined__xyz1__ryp4__seed42.csv,True,True,True,0.05
feaco_baseline__pos_only_0p2__xyz0p2__ryp0__seed42,opencood/pretrained/feaco/generated_feaco_baseline__pos_only_0p2__xyz0p2__ryp0__seed42,opencood/pretrained/feaco/generated_feaco_baseline__pos_only_0p2__xyz0p2__ryp0__seed42/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,pos_only_0p2,True,0.2,0.0,42,feaco_baseline__pos_only_0p2__xyz0p2__ryp0__seed42.csv,False,False,True,0.05
level2_status_skip_vertical_blur_bss0p05__pos_only_0p2__xyz0p2__ryp0__seed42,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_only_0p2__xyz0p2__ryp0__seed42,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_only_0p2__xyz0p2__ryp0__seed42/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,pos_only_0p2,True,0.2,0.0,42,level2_status_skip_vertical_blur_bss0p05__pos_only_0p2__xyz0p2__ryp0__seed42.csv,True,True,True,0.05
feaco_baseline__pos_only_0p5__xyz0p5__ryp0__seed42,opencood/pretrained/feaco/generated_feaco_baseline__pos_only_0p5__xyz0p5__ryp0__seed42,opencood/pretrained/feaco/generated_feaco_baseline__pos_only_0p5__xyz0p5__ryp0__seed42/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,pos_only_0p5,True,0.5,0.0,42,feaco_baseline__pos_only_0p5__xyz0p5__ryp0__seed42.csv,False,False,True,0.05
level2_status_skip_vertical_blur_bss0p05__pos_only_0p5__xyz0p5__ryp0__seed42,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_only_0p5__xyz0p5__ryp0__seed42,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_only_0p5__xyz0p5__ryp0__seed42/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,pos_only_0p5,True,0.5,0.0,42,level2_status_skip_vertical_blur_bss0p05__pos_only_0p5__xyz0p5__ryp0__seed42.csv,True,True,True,0.05
feaco_baseline__pos_only_1p0__xyz1__ryp0__seed42,opencood/pretrained/feaco/generated_feaco_baseline__pos_only_1p0__xyz1__ryp0__seed42,opencood/pretrained/feaco/generated_feaco_baseline__pos_only_1p0__xyz1__ryp0__seed42/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,pos_only_1p0,True,1.0,0.0,42,feaco_baseline__pos_only_1p0__xyz1__ryp0__seed42.csv,False,False,True,0.05
level2_status_skip_vertical_blur_bss0p05__pos_only_1p0__xyz1__ryp0__seed42,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_only_1p0__xyz1__ryp0__seed42,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_only_1p0__xyz1__ryp0__seed42/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,pos_only_1p0,True,1.0,0.0,42,level2_status_skip_vertical_blur_bss0p05__pos_only_1p0__xyz1__ryp0__seed42.csv,True,True,True,0.05
feaco_baseline__pos_only_3p0__xyz3__ryp0__seed42,opencood/pretrained/feaco/generated_feaco_baseline__pos_only_3p0__xyz3__ryp0__seed42,opencood/pretrained/feaco/generated_feaco_baseline__pos_only_3p0__xyz3__ryp0__seed42/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,pos_only_3p0,True,3.0,0.0,42,feaco_baseline__pos_only_3p0__xyz3__ryp0__seed42.csv,False,False,True,0.05
level2_status_skip_vertical_blur_bss0p05__pos_only_3p0__xyz3__ryp0__seed42,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_only_3p0__xyz3__ryp0__seed42,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_only_3p0__xyz3__ryp0__seed42/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,pos_only_3p0,True,3.0,0.0,42,level2_status_skip_vertical_blur_bss0p05__pos_only_3p0__xyz3__ryp0__seed42.csv,True,True,True,0.05
feaco_baseline__pos_only_10p0__xyz10__ryp0__seed42,opencood/pretrained/feaco/generated_feaco_baseline__pos_only_10p0__xyz10__ryp0__seed42,opencood/pretrained/feaco/generated_feaco_baseline__pos_only_10p0__xyz10__ryp0__seed42/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,pos_only_10p0,True,10.0,0.0,42,feaco_baseline__pos_only_10p0__xyz10__ryp0__seed42.csv,False,False,True,0.05
level2_status_skip_vertical_blur_bss0p05__pos_only_10p0__xyz10__ryp0__seed42,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_only_10p0__xyz10__ryp0__seed42,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__pos_only_10p0__xyz10__ryp0__seed42/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,pos_only_10p0,True,10.0,0.0,42,level2_status_skip_vertical_blur_bss0p05__pos_only_10p0__xyz10__ryp0__seed42.csv,True,True,True,0.05
feaco_baseline__rot_only_1p0__xyz0__ryp1__seed42,opencood/pretrained/feaco/generated_feaco_baseline__rot_only_1p0__xyz0__ryp1__seed42,opencood/pretrained/feaco/generated_feaco_baseline__rot_only_1p0__xyz0__ryp1__seed42/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,rot_only_1p0,True,0.0,1.0,42,feaco_baseline__rot_only_1p0__xyz0__ryp1__seed42.csv,False,False,True,0.05
level2_status_skip_vertical_blur_bss0p05__rot_only_1p0__xyz0__ryp1__seed42,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__rot_only_1p0__xyz0__ryp1__seed42,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__rot_only_1p0__xyz0__ryp1__seed42/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,rot_only_1p0,True,0.0,1.0,42,level2_status_skip_vertical_blur_bss0p05__rot_only_1p0__xyz0__ryp1__seed42.csv,True,True,True,0.05
feaco_baseline__rot_only_2p0__xyz0__ryp2__seed42,opencood/pretrained/feaco/generated_feaco_baseline__rot_only_2p0__xyz0__ryp2__seed42,opencood/pretrained/feaco/generated_feaco_baseline__rot_only_2p0__xyz0__ryp2__seed42/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,rot_only_2p0,True,0.0,2.0,42,feaco_baseline__rot_only_2p0__xyz0__ryp2__seed42.csv,False,False,True,0.05
level2_status_skip_vertical_blur_bss0p05__rot_only_2p0__xyz0__ryp2__seed42,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__rot_only_2p0__xyz0__ryp2__seed42,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__rot_only_2p0__xyz0__ryp2__seed42/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,rot_only_2p0,True,0.0,2.0,42,level2_status_skip_vertical_blur_bss0p05__rot_only_2p0__xyz0__ryp2__seed42.csv,True,True,True,0.05
feaco_baseline__rot_only_4p0__xyz0__ryp4__seed42,opencood/pretrained/feaco/generated_feaco_baseline__rot_only_4p0__xyz0__ryp4__seed42,opencood/pretrained/feaco/generated_feaco_baseline__rot_only_4p0__xyz0__ryp4__seed42/config.yaml,feaco_baseline,point_pillar_where2comm_feaco,rot_only_4p0,True,0.0,4.0,42,feaco_baseline__rot_only_4p0__xyz0__ryp4__seed42.csv,False,False,True,0.05
level2_status_skip_vertical_blur_bss0p05__rot_only_4p0__xyz0__ryp4__seed42,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__rot_only_4p0__xyz0__ryp4__seed42,opencood/pretrained/feaco/generated_level2_status_skip_vertical_blur_bss0p05__rot_only_4p0__xyz0__ryp4__seed42/config.yaml,level2_status_skip_vertical_blur_bss0p05,point_pillar_where2comm_our,rot_only_4p0,True,0.0,4.0,42,level2_status_skip_vertical_blur_bss0p05__rot_only_4p0__xyz0__ryp4__seed42.csv,True,True,True,0.05
