Run name,Collab pairs,Status ok ratio,Non-ok ratio,Fused ratio,Skipped ratio,Selected for blur ratio,Blurred ratio,Mean cov trace,Median cov trace,p95 cov trace all,p95 cov trace ok-only,Mean mask IoU after warp,Median mask IoU after warp,Mean mask IoU after warp ok-only,Median mask IoU after warp ok-only,AP@0.3,AP@0.5,AP@0.7
feaco_baseline__clean__xyz0__ryp0__seed20,1006,0.9940357852882704,0.005964214711729587,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2590185230755542,0.2760889292196007,0.2605726342140075,0.2777777777777778,0.8655464628608038,0.8477877004726584,0.7487089220596684
feaco_baseline__clean__xyz0__ryp0__seed28,1006,0.9940357852882704,0.005964214711729587,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2588960441525314,0.2756861365235749,0.2604494204174466,0.27735042735042736,0.8664073994543602,0.8485239079236767,0.7484632997980515
feaco_baseline__clean__xyz0__ryp0__seed42,1006,0.9940357852882704,0.005964214711729587,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.2582926536158372,0.2756861365235749,0.2598424095375322,0.27735042735042736,0.8651695534557221,0.8482715065774712,0.7478064393402477
feaco_baseline__pos_0p2_rot_10p0__xyz0p2__ryp10__seed20,1006,0.9840954274353877,0.015904572564612307,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.010847122423409405,0.0,0.011022429452474607,0.0,0.5913743226181334,0.5827343566934261,0.5344504056137429
feaco_baseline__pos_0p2_rot_10p0__xyz0p2__ryp10__seed28,1006,0.9930417495029821,0.006958250497017926,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.17845213855977562,0.1798336798336798,0.17970255394507936,0.1808510638297872,0.8227316109924921,0.7498491375366697,0.5827614814251867
feaco_baseline__pos_0p2_rot_10p0__xyz0p2__ryp10__seed42,1006,0.9860834990059643,0.013916500994035741,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.05977716980162555,0.0392156862745098,0.060620799214148494,0.03957811194653295,0.6431275457791107,0.6186236978219498,0.5456136352708916
feaco_baseline__pos_0p2_rot_14p0__xyz0p2__ryp14__seed20,1006,0.9811133200795229,0.0188866799204771,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.008742743555554844,0.0,0.008911043583473326,0.0,0.613054299773276,0.6035062293030454,0.5522626196228576
feaco_baseline__pos_0p2_rot_14p0__xyz0p2__ryp14__seed28,1006,0.9920477137176938,0.007952286282306154,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1517749690989014,0.14962686567164174,0.15299160211773027,0.15022123893805311,0.7841088980420958,0.6938075909650714,0.5384256172655778
feaco_baseline__pos_0p2_rot_14p0__xyz0p2__ryp14__seed42,1006,0.9850894632206759,0.01491053677932408,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.04041920562569851,0.025370092254880898,0.041030999858176286,0.0256410256410256,0.6162404722756731,0.5951484736005399,0.5368298245214369
feaco_baseline__pos_0p2_rot_18p0__xyz0p2__ryp18__seed20,1006,0.9353876739562624,0.06461232604373757,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.009711801469359885,0.0,0.010382648542163704,0.0,0.6143879110128702,0.6043563162322394,0.5505492578792462
feaco_baseline__pos_0p2_rot_18p0__xyz0p2__ryp18__seed28,1006,0.9900596421471173,0.00994035785288272,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.1338149982082996,0.125,0.1351585222866962,0.12626469085334696,0.7423573498114133,0.6682570348677346,0.5331767581821797
feaco_baseline__pos_0p2_rot_18p0__xyz0p2__ryp18__seed42,1006,0.9860834990059643,0.013916500994035741,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.02683965242427711,0.0173163418290854,0.027218437841555213,0.017621487346685248,0.6086680909279942,0.5936476494767459,0.5366770016367571
feaco_baseline__pos_0p2_rot_1p0__xyz0p2__ryp1__seed20,1006,0.9860834990059643,0.013916500994035741,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.12874223090295744,0.1166465877684076,0.1305591575487653,0.11791443850267375,0.7498113821910615,0.68410458694235,0.551283544905252
feaco_baseline__pos_0p2_rot_1p0__xyz0p2__ryp1__seed28,1006,0.9880715705765407,0.011928429423459286,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.21618934490410796,0.23473824312333624,0.21879927663333262,0.2361111111111111,0.8499556247299473,0.8274866589299685,0.7211586993792002
feaco_baseline__pos_0p2_rot_1p0__xyz0p2__ryp1__seed42,1006,0.9900596421471173,0.00994035785288272,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.21807880918088005,0.2258064516129032,0.2202683554577965,0.22832080200501245,0.8551757775075948,0.8352327191144758,0.712647975233794
feaco_baseline__pos_0p2_rot_2p0__xyz0p2__ryp2__seed20,1006,0.9880715705765407,0.011928429423459286,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.06666394762295497,0.04640396210163645,0.06746874377132063,0.0471698113207547,0.6444369462309396,0.6144182858668016,0.5431976722660774
feaco_baseline__pos_0p2_rot_2p0__xyz0p2__ryp2__seed28,1006,0.989065606361829,0.010934393638170947,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.215416400287299,0.22961896322552056,0.21779788812967116,0.2307692307692307,0.8537747732296046,0.8337738372906989,0.7242111719319488
feaco_baseline__pos_0p2_rot_2p0__xyz0p2__ryp2__seed42,1006,0.9870775347912525,0.012922465208747513,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.19314766280962692,0.20271509814712896,0.1956762827658456,0.2040816326530612,0.8401841511755412,0.7999867767674044,0.6402070715410247
feaco_baseline__pos_0p2_rot_4p0__xyz0p2__ryp4__seed20,1006,0.9900596421471173,0.00994035785288272,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.024094505074173087,0.0175438596491228,0.024336417775721007,0.0178571428571428,0.6036069206489246,0.590528347086605,0.5338341851622489
feaco_baseline__pos_0p2_rot_4p0__xyz0p2__ryp4__seed28,1006,0.9920477137176938,0.007952286282306154,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.21311617132984123,0.2222222222222222,0.2148245173926055,0.22420165582495566,0.8507962357215479,0.8251288857593403,0.6843513794296294
